,emp,slot,activity_type
0,4,11,0
1,4,17,0
2,2,17,2
3,1,17,2
4,1,16,2
5,1,13,0
6,3,1,0
7,2,24,0
8,2,24,0
9,2,16,0
10,2,8,0
11,2,16,2
12,1,16,2
13,1,16,4
14,1,5,0
15,1,20,0
16,1,20,0
17,4,17,0
18,4,17,0
19,4,17,0
20,4,17,5
21,4,15,0
22,4,17,8
23,1,17,0
24,2,6,0
25,4,14,3
26,4,10,0
27,1,10,0
28,1,10,2
29,1,19,2
30,1,15,2
31,1,12,2
32,1,11,2
33,1,23,0
34,1,23,0
35,4,19,0
36,4,13,0
37,1,11,2
38,1,11,2
39,2,13,2
40,2,13,8
41,2,22,0
42,3,24,0
43,3,23,0
44,3,7,3
45,3,15,0
46,3,15,2
47,3,9,3
48,3,9,3
49,3,9,3
50,3,9,0
51,3,7,0
52,4,7,0
53,4,21,0
54,1,17,0
55,1,8,2
56,1,8,2
57,1,8,2
58,1,8,2
59,1,7,0
60,1,7,0
61,1,15,2
62,3,8,2
63,4,8,0
64,4,8,0
65,4,15,0
66,4,15,4
67,4,15,0
68,2,15,0
69,3,21,0
70,4,11,0
71,4,23,0
72,1,23,0
73,1,21,0
74,1,23,0
75,1,3,0
76,3,3,0
77,3,1,0
78,3,17,2
79,3,13,3
80,3,9,3
81,3,9,3
82,3,9,3
83,3,14,3
84,3,16,0
85,4,17,0
86,1,12,2
87,1,12,6
88,1,8,2
89,3,17,3
90,3,10,3
91,3,8,0
92,2,8,0
93,1,8,0
94,1,8,2
95,1,11,2
96,1,11,2
97,1,16,2
98,1,16,0
99,1,2,0
100,3,24,0
101,3,3,0
102,3,24,0
103,1,24,0
104,3,6,0
105,3,10,3
106,3,4,0
107,4,4,0
108,4,3,0
109,4,5,0
110,4,16,0
111,3,16,5
112,3,15,5
113,3,16,3
114,3,8,3
115,3,16,3
116,4,16,0
117,4,24,0
118,2,22,0
119,3,22,0
120,1,22,0
121,1,2,0
122,1,2,0
123,2,3,0
124,3,3,0
125,2,21,0
126,1,19,0
127,1,21,0
128,3,1,0
129,1,1,0
130,2,5,0
131,1,2,0
132,1,5,0
133,1,5,0
134,4,5,0
135,1,7,0
136,2,19,0
137,1,19,8
138,1,8,0
139,1,8,2
140,1,9,2
141,1,12,2
142,1,12,8
143,1,12,2
144,1,12,0
145,2,12,2
146,1,12,2
147,1,15,0
148,4,15,0
149,4,9,0
150,1,9,2
151,1,7,2
152,2,9,0
153,4,9,4
154,1,14,4
155,1,14,2
156,1,16,2
157,1,13,2
158,4,13,8
159,1,20,8
160,1,19,8
161,1,19,0
162,1,7,0
163,1,24,0
164,1,16,2
165,1,16,2
166,1,14,0
167,4,15,8
168,1,15,2
169,3,6,0
170,4,6,0
171,4,17,8
172,4,17,0
173,3,8,2
174,2,18,0
175,2,24,0
176,1,24,0
177,1,24,0
178,1,19,0
179,1,1,0
180,3,13,0
181,4,13,12
182,4,19,12
183,4,19,8
184,4,12,0
185,3,12,0
186,1,2,0
187,1,2,0
188,1,23,0
189,1,21,8
190,1,21,0
191,3,1,0
192,4,4,0
193,1,15,0
194,2,15,0
195,4,3,0
196,4,8,0
197,4,5,0
198,1,4,0
199,4,22,0
200,2,24,0
201,4,24,0
202,4,3,0
203,4,23,0
204,4,7,0
205,3,23,0
206,3,6,0
207,2,20,0
208,4,20,0
209,4,7,0
210,3,6,0
211,1,9,2
212,2,13,2
213,2,13,0
214,3,4,0
215,1,14,0
216,3,3,0
217,1,2,0
218,1,7,0
219,1,7,0
220,1,5,0
221,1,5,0
222,4,6,0
223,4,17,0
224,2,24,0
225,2,24,0
226,2,24,0
227,2,24,0
228,2,24,0
229,4,7,0
230,1,19,0
231,3,19,8
232,3,12,8
233,3,13,3
234,3,13,3
235,3,21,8
236,3,20,8
237,1,20,0
238,4,21,0
239,1,4,0
240,1,19,0
241,2,9,6
242,2,10,8
243,4,15,8
244,4,16,8
245,4,20,0
246,4,8,0
247,4,16,0
248,4,14,0
249,4,14,4
250,4,7,0
251,1,23,0
252,3,23,0
253,4,15,0
254,4,15,0
255,4,15,0
256,4,19,8
257,4,11,8
258,1,16,4
259,4,3,0
260,3,3,0
261,2,3,0
262,2,13,0
263,3,13,0
264,3,4,0
265,1,8,0
266,1,21,0
267,1,13,2
268,2,18,2
269,1,8,2
270,1,13,2
271,3,13,8
272,3,11,3
273,1,10,2
274,1,4,0
275,4,4,0
276,4,21,0
277,1,21,0
278,4,2,0
279,4,11,0
280,4,11,0
281,4,11,0
282,3,11,8
283,1,11,2
284,1,10,2
285,2,10,0
286,4,16,0
287,4,16,8
288,4,15,8
289,3,15,3
290,3,10,3
291,3,10,2
292,3,17,2
293,1,9,2
294,2,9,2
295,2,9,0
296,4,9,2
297,1,13,2
298,1,5,2
299,4,20,0
300,4,9,4
301,4,11,0
302,1,20,0
303,1,8,0
304,4,8,0
305,3,24,0
306,3,24,8
307,1,17,8
308,1,19,2
309,1,19,2
310,1,13,2
311,1,13,2
312,2,13,8
313,1,14,2
314,1,10,2
315,1,10,0
316,2,24,0
317,2,18,0
318,3,24,0
319,3,24,0
320,4,24,0
321,2,24,0
322,2,19,0
323,4,24,0
324,3,24,0
325,4,24,0
326,1,11,0
327,1,11,2
328,1,11,2
329,1,11,2
330,1,9,2
331,1,15,2
332,2,13,2
333,2,17,2
334,1,7,2
335,2,9,2
336,2,11,2
337,1,11,2
338,1,14,2
339,1,14,2
340,4,22,0
341,4,7,0
342,3,2,0
343,2,2,0
344,2,2,0
345,4,4,0
346,3,18,0
347,4,20,0
348,1,21,8
349,1,18,0
350,1,21,0
351,3,21,0
352,1,21,0
353,4,3,0
354,1,3,0
355,1,10,0
356,1,10,0
357,2,10,2
358,1,12,2
359,1,11,2
360,2,10,2
361,2,20,2
362,1,17,2
363,1,10,7
364,3,10,2
365,3,19,0
366,4,19,0
367,4,19,0
368,2,19,0
369,4,23,0
370,4,24,0
371,1,5,0
372,1,23,0
373,1,23,0
374,1,7,0
375,4,9,0
376,3,10,0
377,2,10,8
378,2,9,8
379,2,17,0
380,2,4,0
381,2,9,0
382,2,9,2
383,2,15,4
384,3,15,8
385,3,19,0
386,4,19,0
387,4,3,0
388,4,8,0
389,2,8,0
390,1,17,0
391,1,23,0
392,1,1,0
393,1,23,0
394,1,5,0
395,1,2,0
396,3,22,0
397,3,24,0
398,3,1,0
399,2,8,0
400,1,8,0
401,1,23,0
402,1,24,0
403,1,23,0
