,emp,slot,activity_type
0,2,43,0
1,4,24,0
2,4,114,0
3,1,123,0
4,2,123,0
5,3,54,0
6,1,73,0
7,1,133,0
8,1,119,0
9,3,81,0
10,1,20,0
11,4,2,0
12,4,127,0
13,4,96,0
14,1,96,0
15,4,96,4
16,4,26,0
17,3,5,0
18,1,46,0
19,3,59,0
20,3,65,0
21,2,75,2
22,1,75,0
23,1,75,0
24,1,141,0
25,3,1,0
26,4,1,0
27,4,140,0
28,4,115,0
29,1,108,0
30,1,19,0
31,3,19,0
32,4,133,0
33,4,121,0
34,3,130,0
35,3,130,0
36,3,80,0
37,4,29,0
38,4,99,0
39,3,99,0
40,2,85,0
41,2,35,0
42,2,125,0
43,3,111,0
44,1,104,0
45,2,104,0
46,3,54,0
47,3,54,0
48,3,135,0
49,3,56,0
50,2,112,0
51,2,125,0
52,2,42,0
53,1,105,0
54,1,105,0
55,1,54,0
56,4,7,0
57,4,108,0
58,4,86,8
59,2,83,0
60,2,40,0
61,4,20,0
62,2,20,0
63,4,9,0
64,4,9,0
65,4,77,0
66,3,41,0
67,1,85,0
68,1,10,0
69,1,36,0
70,1,36,0
71,3,111,0
72,4,111,0
73,4,18,0
74,4,100,0
75,4,63,0
76,2,63,0
77,2,97,0
78,2,118,0
79,3,118,0
80,3,118,0
81,2,22,0
82,1,22,0
83,1,22,0
84,1,22,0
85,2,135,0
86,3,124,0
87,1,106,0
88,4,106,0
89,4,137,0
90,3,66,0
91,3,13,0
92,1,125,0
93,1,101,0
94,1,99,8
95,1,102,8
96,1,71,0
97,2,71,8
98,2,85,8
99,2,139,0
100,2,33,0
101,2,46,0
102,2,15,0
103,2,15,0
104,2,15,0
105,3,15,0
106,4,56,0
107,4,142,0
108,3,142,0
109,1,30,0
110,1,136,0
111,1,136,0
112,1,140,0
113,2,140,0
114,4,18,0
115,3,18,0
116,4,63,0
117,4,63,0
118,4,13,0
119,2,13,0
120,2,93,0
121,2,32,0
122,2,78,8
123,2,78,0
124,2,84,8
125,2,45,2
126,1,117,0
127,1,96,0
128,4,120,0
129,2,39,0
130,2,48,0
131,2,48,0
132,2,48,0
133,1,30,0
134,2,16,0
135,1,16,0
136,1,141,0
137,1,60,2
138,1,60,2
139,2,110,2
140,2,100,0
141,4,55,0
142,4,55,0
143,4,97,0
144,2,29,0
145,4,138,0
146,1,138,0
147,1,24,0
148,1,24,0
149,4,37,0
150,4,58,0
151,2,58,0
152,1,16,0
153,1,16,0
154,1,82,0
155,4,82,8
156,4,46,0
157,4,46,0
158,2,124,0
159,2,124,8
160,3,59,0
161,1,59,0
162,1,64,4
163,3,75,8
164,4,83,8
165,1,88,8
166,4,73,0
167,1,73,0
168,1,66,8
169,1,114,8
170,4,136,0
171,4,34,0
172,4,34,0
173,4,34,0
174,4,34,0
175,4,6,0
176,2,6,0
177,4,84,0
178,4,99,0
179,1,51,0
180,4,58,0
181,2,58,0
182,2,83,0
183,2,54,0
184,2,90,9
185,1,115,2
186,2,115,2
